,Year,Course,Freq,Freq_upper,Freq_lower
0,2017,Adobe Illustrator,1.0,1.0,0.0
1,2018,Adobe Illustrator,0.0,1.0,-0.0
2,2019,Adobe Illustrator,0.0,0.0,-0.0
3,2021,Adobe Illustrator,0.0,1.0,-0.0
4,2022,Adobe Illustrator,-0.0,0.0,-0.0
5,2023,Adobe Illustrator,-0.0,0.0,-1.0
6,2023,Adobe Illustrator,-1.0,-1.0,-1.0
7,2024,Adobe Illustrator,-1.0,-0.0,-1.0
8,2025,Adobe Illustrator,-1.0,-1.0,-1.0
9,2026,Adobe Illustrator,-1.0,-1.0,-2.0
10,2027,Adobe Illustrator,-1.0,-1.0,-2.0
0,2017,Adobe InDesign,1.0,1.0,0.0
1,2018,Adobe InDesign,0.0,1.0,0.0
2,2019,Adobe InDesign,0.0,0.0,-0.0
3,2021,Adobe InDesign,0.0,1.0,-0.0
4,2022,Adobe InDesign,-0.0,0.0,-0.0
5,2023,Adobe InDesign,-0.0,0.0,-1.0
6,2023,Adobe InDesign,-1.0,-1.0,-1.0
7,2024,Adobe InDesign,-1.0,-0.0,-1.0
8,2025,Adobe InDesign,-1.0,-1.0,-1.0
9,2026,Adobe InDesign,-1.0,-1.0,-2.0
10,2027,Adobe InDesign,-1.0,-1.0,-2.0
0,2017,Adobe Photoshop,5.0,7.0,2.0
1,2018,Adobe Photoshop,4.0,7.0,1.0
2,2019,Adobe Photoshop,4.0,7.0,1.0
3,2021,Adobe Photoshop,0.0,3.0,-2.0
4,2022,Adobe Photoshop,0.0,3.0,-3.0
5,2023,Adobe Photoshop,-0.0,2.0,-3.0
6,2023,Adobe Photoshop,3.0,5.0,0.0
7,2024,Adobe Photoshop,-1.0,2.0,-4.0
8,2025,Adobe Photoshop,-1.0,2.0,-4.0
9,2026,Adobe Photoshop,-1.0,1.0,-4.0
10,2027,Adobe Photoshop,-2.0,1.0,-4.0
0,2017,Android,1.0,6.0,-4.0
1,2018,Android,1.0,7.0,-4.0
2,2019,Android,1.0,6.0,-4.0
3,2021,Android,4.0,9.0,-1.0
4,2022,Android,4.0,9.0,-1.0
5,2023,Android,4.0,9.0,-1.0
6,2023,Android,1.0,6.0,-4.0
7,2024,Android,4.0,9.0,-1.0
8,2025,Android,4.0,9.0,-1.0
9,2026,Android,4.0,9.0,-1.0
10,2027,Android,4.0,9.0,-1.0
0,2017,Arduino,0.0,1.0,-0.0
1,2018,Arduino,0.0,0.0,-0.0
2,2019,Arduino,-0.0,0.0,-1.0
3,2021,Arduino,2.0,2.0,1.0
4,2022,Arduino,1.0,2.0,1.0
5,2023,Arduino,1.0,1.0,1.0
6,2023,Arduino,-1.0,-1.0,-2.0
7,2024,Arduino,1.0,1.0,0.0
8,2025,Arduino,0.0,1.0,0.0
9,2026,Arduino,0.0,0.0,-0.0
10,2027,Arduino,-0.0,0.0,-0.0
